사용일자,노선명,역명,하차총승객수
202001,7호선,뚝섬유원지,7593
202001,7호선,청담,25402
202001,7호선,강남구청,19535
202001,7호선,학동,27954
202001,7호선,논현,24636
202001,7호선,반포,6615
202001,7호선,고속터미널,17051
202001,7호선,내방,16096
202001,7호선,이수,17655
202001,7호선,남성,11879
202001,7호선,숭실대입구(살피재),14010
202001,7호선,상도,11687
202001,7호선,장승배기,11132
202001,7호선,신대방삼거리,17493
202001,7호선,보라매,10428
202001,7호선,신풍,11524
202001,7호선,대림(구로구청),9550
202001,7호선,남구로,19214
202001,7호선,가산디지털단지,49299
202001,7호선,철산,25710
202001,7호선,광명사거리,26027
202001,7호선,천왕,9918
202001,7호선,온수(성공회대입구),10733
202001,7호선,까치울,7466
202001,7호선,부천종합운동장,4196
202001,7호선,춘의,10300
202001,7호선,신중동,15856
202001,7호선,부천시청,13654
202001,7호선,상동,15620
202001,7호선,삼산체육관,5145
202001,7호선,굴포천,10608
202001,7호선,부평구청,10593
202001,8호선,송파,10161
202001,8호선,암사,17954
202001,8호선,천호(풍납토성),21912
202001,8호선,강동구청,12125
202001,8호선,몽촌토성(평화의문),6467
202001,8호선,잠실(송파구청),19917
202001,8호선,석촌,9960
202001,8호선,가락시장,9874
202001,8호선,문정,23677
202001,8호선,장지,18552
202001,8호선,복정,9735
202001,8호선,산성,5694
202001,8호선,남한산성입구(성남법원.검찰청),13146
202001,8호선,단대오거리,10837
202001,8호선,신흥,5544
202001,8호선,수진,5564
202001,8호선,모란,3583
202001,9호선,개화,2121
202001,9호선,김포공항,12381
202001,9호선,공항시장,3343
202001,9호선,신방화,7266
202001,9호선,마곡나루,10896
202001,9호선,양천향교,9910
202001,9호선,가양,21718
202001,9호선,증미,7788
202001,9호선,등촌,11532
202001,9호선,염창,18081
202001,9호선,신목동,3862
202001,9호선,선유도,7822
202001,9호선,당산,19545
202001,9호선,국회의사당,17569
202001,9호선,여의도,25487
202001,9호선,샛강,6313
202001,9호선,노량진,31459
202001,9호선,노들,4176
202001,9호선,흑석(중앙대입구),10090
202001,9호선,동작(현충원),2017
202001,9호선,구반포,3391
202001,9호선,신반포,3324
202001,9호선,고속터미널,19400
202001,9호선,사평,3519
202001,9호선,신논현,39799
202001,9호선,언주,10766
202001,9호선,선정릉,10489
202001,9호선,삼성중앙,7205
202001,9호선,봉은사,19476
202001,9호선,종합운동장,4474
202001,9호선,삼전,6340
202001,9호선,석촌고분,5622
202001,9호선,석촌,6610
202001,9호선,송파나루,4559
202001,9호선,한성백제,2231
202001,9호선,올림픽공원(한국체대),5290
202001,9호선,둔촌오륜,1022
202001,9호선,중앙보훈병원,9400
202001,1호선,서울역,60775
202001,1호선,시청,30898
202001,1호선,종각,52135
202001,1호선,종로3가,37568
202001,1호선,종로5가,30873
202001,1호선,동대문,14731
202001,1호선,신설동,16573
202001,1호선,제기동,22412
202001,1호선,청량리(서울시립대입구),26603
202001,1호선,동묘앞,10175
202001,2호선,시청,30071
202001,2호선,을지로입구,60824
202001,2호선,을지로3가,27684
202001,2호선,을지로4가,16133
202001,2호선,동대문역사문화공원,22961
202001,2호선,신당,16803
202001,2호선,상왕십리,15716
202001,2호선,왕십리(성동구청),18171
202001,2호선,한양대,10801
202001,2호선,뚝섬,23637
202001,2호선,성수,39585
202001,2호선,건대입구,54406
202001,2호선,구의(광진구청),26827
202001,2호선,강변(동서울터미널),46480
202001,2호선,잠실나루,17947
202001,2호선,잠실(송파구청),92634
202001,2호선,잠실새내,28393
202001,2호선,종합운동장,10994
202001,2호선,삼성(무역센터),71867
202001,2호선,선릉,59573
202001,2호선,역삼,66668
202001,2호선,강남,132511
202001,2호선,교대(법원.검찰청),47168
202001,2호선,서초,24276
202001,2호선,방배,21244
202001,2호선,사당,53045
202001,2호선,낙성대,30836
202001,2호선,서울대입구(관악구청),55953
202001,2호선,봉천,25802
202001,2호선,신림,74880
202001,2호선,신대방,29424
202001,2호선,구로디지털단지,74596
202001,2호선,대림(구로구청),31363
202001,2호선,신도림,62386
202001,2호선,문래,24936
202001,2호선,영등포구청,27070
202001,2호선,당산,26876
