NO,지역,성별,나이,자동차,대중교통,택시,비용,경험,인지,한정도입,완전도입,가구원수,월소득
480,b,F,3,1,3,2,0,0,2,1,0,4,0
481,b,M,4,1,2,2,0,0,2,0,0,2,1
482,b,F,2,0,4,3,2,1,2,1,1,4,2
484,d,F,2,0,3,2,1,0,1,1,1,1,1
485,e,F,2,0,4,2,1,0,2,1,1,3,0
487,d,F,3,1,3,0,1,0,2,1,1,4,1
491,b,M,4,1,2,0,0,0,2,0,0,3,1
492,c,M,5,1,1,0,0,0,3,1,1,3,1
493,b,M,4,1,2,1,1,0,2,1,1,3,1
494,b,F,5,1,1,1,0,1,3,0,1,4,2
495,d,F,5,1,2,1,0,0,3,0,0,3,2
496,c,M,1,0,4,2,2,0,3,1,1,3,0
497,d,F,4,0,4,2,2,0,2,1,1,2,2
498,c,F,2,1,1,1,0,1,2,0,1,4,2
499,e,M,5,1,2,0,0,0,2,0,1,4,2
500,b,F,5,1,3,3,2,0,3,1,1,3,1
501,b,M,5,1,1,1,0,0,1,1,1,4,0
502,e,M,4,1,3,2,2,0,1,1,0,4,2
503,b,F,3,0,4,2,1,0,1,1,0,6,2
504,b,M,4,0,4,0,2,0,1,1,0,2,0
505,b,F,3,0,2,1,1,0,2,1,1,5,1
506,d,M,3,0,4,0,2,0,4,0,0,4,0
507,c,F,5,0,2,0,0,0,1,0,0,2,0
508,b,F,2,0,3,1,1,0,1,1,1,6,2
509,b,F,5,0,0,2,NA,0,1,0,0,1,0
510,b,F,4,0,4,1,1,0,1,0,0,5,2
511,b,M,4,1,3,0,0,0,1,1,1,3,1
513,d,F,5,0,4,1,1,0,2,1,0,3,0
514,b,M,5,1,2,2,2,0,3,1,1,5,1
515,b,M,3,1,2,2,1,0,2,0,0,3,2
517,c,F,2,0,4,2,2,1,1,1,1,3,0
518,d,F,3,1,2,1,1,1,2,1,1,4,2
519,c,M,4,1,2,2,2,0,3,1,1,1,2
521,d,F,5,0,3,0,0,0,2,0,0,3,1
522,a,F,2,1,3,2,0,1,3,1,1,1,1
523,d,F,4,0,4,2,2,0,2,1,0,2,1
524,d,F,4,0,2,0,0,0,2,1,0,3,2
525,c,F,2,0,4,3,1,0,1,1,1,2,1
528,c,M,3,1,3,0,1,0,2,1,1,4,1
529,b,M,5,1,3,1,2,0,3,1,0,5,1
530,a,F,2,0,4,1,1,0,1,1,1,4,2
531,d,F,2,0,4,2,2,1,2,1,1,4,1
532,d,F,3,1,3,1,1,0,3,0,1,2,2
533,b,M,4,1,3,2,2,1,3,1,1,4,2
534,d,F,5,0,4,0,2,0,4,1,0,4,1
535,c,M,3,1,1,1,0,0,1,0,0,1,1
536,a,M,3,1,1,0,0,0,2,0,0,4,0
538,c,M,3,1,4,1,1,0,2,0,0,4,2
539,c,F,5,1,3,1,1,1,2,0,0,4,2
541,c,M,5,0,4,1,1,0,2,1,0,3,1
542,d,M,5,1,4,1,2,0,3,1,1,5,2
545,b,M,3,1,1,2,1,1,3,1,1,4,1
546,b,F,3,0,4,2,2,0,2,1,0,3,1
547,b,F,2,0,3,1,1,0,1,1,0,5,2
548,d,M,5,1,4,1,1,0,1,1,0,3,2
549,d,F,2,0,4,2,1,0,1,0,0,4,2
550,e,M,3,1,3,3,0,1,2,0,0,4,1
551,b,F,5,0,4,1,1,0,3,0,0,3,2
552,d,F,4,0,4,1,2,0,2,1,1,4,1
554,c,M,5,1,4,2,2,1,3,1,1,3,2
555,e,M,5,0,3,2,0,1,2,1,1,5,1
556,d,M,2,1,3,1,1,0,1,1,1,3,1
557,d,F,2,1,3,1,1,0,1,1,1,1,0
559,d,F,4,1,2,1,0,0,1,1,1,4,2
561,d,M,2,0,4,1,1,0,2,1,1,4,0
562,d,F,2,0,4,2,2,0,1,0,0,4,1
563,c,M,3,1,3,1,0,0,1,0,0,4,1
564,b,M,4,1,3,1,2,0,3,1,1,3,1
565,b,M,5,0,4,2,0,0,4,1,1,2,0
566,d,F,2,1,3,2,0,1,2,1,1,2,0
568,d,F,3,0,4,2,1,1,2,1,0,2,1
569,d,F,3,0,3,2,0,1,5,1,1,5,0
570,c,F,5,1,4,1,1,0,2,0,1,3,2
571,d,F,3,0,4,2,1,0,1,1,1,1,0
572,b,F,4,1,2,1,2,1,3,1,1,4,1
574,d,F,5,0,2,0,0,0,1,1,0,4,1
575,d,M,2,1,2,2,0,0,1,0,0,5,1
576,c,M,3,1,3,2,0,0,1,0,0,5,2
577,e,M,5,1,4,2,1,0,2,1,1,4,2
578,c,M,3,1,4,1,1,0,5,1,1,2,0
579,c,M,4,1,2,2,1,1,2,1,1,3,1
580,d,F,4,1,3,2,2,1,3,1,1,4,1
581,d,F,3,0,4,2,1,0,1,0,0,4,2
582,d,F,3,0,4,0,1,0,1,1,1,2,1
585,d,M,4,0,4,2,1,0,3,1,1,4,2
586,c,F,3,1,3,1,1,0,2,1,1,3,0
587,a,F,5,0,2,1,0,0,3,1,1,1,0
588,d,F,2,0,4,0,1,1,1,1,1,2,0
589,b,F,2,1,3,1,2,1,5,1,1,4,2
